size_sqft,bedrooms,age_years,location_score,price_1000s
2882.6,5,12.7,9.22,710.81
2459.3,4,12.3,6.09,587.6
603.4,1,20.1,2.64,187.35
968.3,5,44.7,2.26,266.09
1393.9,2,0.0,6.19,367.29
1817.0,2,45.1,7.86,429.51
2136.5,1,7.7,8.03,497.23
1328.3,4,49.5,3.48,335.45
1921.4,5,47.7,2.84,412.88
1309.0,3,24.7,1.15,260.88
1402.5,1,25.6,7.11,394.4
885.7,4,24.1,1.69,255.58
1199.9,3,31.8,4.79,309.36
921.4,2,4.5,6.42,323.36
1165.7,2,1.6,9.43,431.04
2484.9,3,2.9,3.81,503.48
1182.9,1,22.2,3.25,294.28
3511.0,2,13.8,6.89,721.13
2120.7,5,31.1,6.57,496.55
1920.1,3,49.6,3.99,411.62
1242.1,3,19.3,9.35,434.35
2255.2,2,28.7,8.6,528.54
1425.8,1,20.8,3.02,299.85
1879.3,5,42.4,3.15,389.54
3464.1,1,45.1,5.61,635.29
1737.6,4,43.9,7.96,466.56
2547.0,4,48.7,1.4,452.6
1342.9,2,1.4,7.24,367.54
1777.3,2,42.0,6.83,412.8
2951.0,2,37.6,3.08,531.65
1392.5,4,11.4,7.13,446.52
2978.1,1,47.8,9.46,655.64
2260.0,1,7.4,1.42,441.56
1434.4,2,34.0,3.88,313.29
2211.1,5,11.2,4.94,525.19
2432.2,1,21.6,9.09,512.67
2204.2,4,36.0,9.66,584.47
779.4,3,28.2,5.0,285.59
1327.4,3,21.4,7.75,398.72
1639.1,3,16.3,5.78,430.33
1751.6,5,42.0,5.84,406.4
2203.4,2,7.2,3.5,441.79
1915.5,4,21.5,2.95,440.4
932.0,5,45.2,3.59,291.09
2047.1,4,42.3,6.01,469.06
2196.9,4,20.0,1.26,454.5
2163.9,2,38.2,9.17,536.49
2502.5,3,41.2,2.41,459.16
2342.0,2,44.4,2.98,438.84
2098.5,5,27.2,5.66,493.57
1754.4,5,10.2,7.39,468.42
720.4,5,12.8,1.86,272.77
2079.3,2,14.8,3.86,429.33
1935.0,4,29.7,9.72,518.61
1976.5,4,1.6,3.36,415.43
970.1,1,31.8,3.82,184.89
1097.3,5,18.2,8.53,431.07
2484.5,4,14.8,1.45,504.85
1774.3,1,44.0,5.18,416.06
2243.0,4,23.0,4.42,491.82
1818.4,5,4.8,3.85,440.2
1819.3,3,41.3,3.57,377.42
2409.9,5,2.4,1.82,491.97
1464.6,2,36.3,3.83,361.61
1862.5,4,38.7,1.39,370.73
1499.5,4,17.6,8.03,462.79
1517.6,2,41.2,4.58,340.11
1599.0,2,25.8,5.0,416.16
1944.4,3,23.2,9.04,474.27
1488.8,4,2.3,6.92,413.6
2616.2,4,14.5,1.07,507.63
1218.5,3,46.6,9.49,446.09
1678.5,1,19.6,3.13,348.9
1514.2,3,27.3,1.97,305.63
2740.5,5,26.6,7.91,667.25
1927.8,4,29.5,5.5,470.72
2470.7,2,3.1,4.9,562.68
834.4,5,18.1,3.25,246.83
1973.6,4,36.2,5.93,502.09
2378.3,3,10.0,3.47,458.46
1853.5,5,10.2,9.11,536.73
2492.6,4,0.5,2.94,534.66
1463.8,1,21.9,8.96,429.98
2716.1,1,44.1,6.03,569.24
3294.3,2,2.6,8.46,672.62
1564.2,4,9.6,7.42,461.98
1510.4,1,15.5,7.27,437.02
2744.7,3,36.6,3.92,540.46
2826.7,4,32.0,3.11,523.72
1460.1,3,20.8,2.9,365.73
1526.9,3,38.0,8.71,425.33
1616.8,1,30.5,8.38,410.44
926.1,4,44.8,4.97,266.69
1202.9,5,40.9,2.19,292.19
1147.3,1,12.6,4.44,308.49
1300.9,1,13.6,6.57,332.89
1777.5,4,6.3,5.09,424.63
1952.2,4,16.8,8.02,504.39
2807.8,3,50.0,9.98,622.93
1151.1,4,20.3,2.72,304.31
2439.8,3,11.0,5.14,544.65
1660.9,1,38.1,4.88,374.05
1767.8,2,27.1,3.74,390.44
2238.6,5,7.5,2.78,531.68
1070.2,1,19.0,1.59,246.54
2048.6,4,20.7,8.98,570.02
1908.2,5,37.7,4.78,441.73
2120.1,2,1.0,5.47,513.28
1988.0,2,13.5,9.25,516.42
3395.9,3,25.9,7.99,728.73
1385.5,5,13.4,2.17,311.92
1454.9,3,31.4,6.09,392.84
1395.0,1,24.1,4.98,317.23
1438.9,5,18.1,8.17,481.92
1385.7,1,47.5,7.52,389.11
2572.9,3,31.6,7.21,564.82
2723.3,5,6.5,4.06,637.71
1429.0,3,28.0,8.24,419.21
1259.0,5,39.0,1.47,253.8
2106.4,3,35.4,2.44,398.0
1441.1,2,8.6,4.02,329.54
2211.4,3,48.6,1.69,418.75
1931.9,2,22.4,3.11,371.02
814.8,3,8.0,8.47,340.86
2805.9,5,9.0,9.53,703.15
2967.3,5,4.9,3.74,621.98
1401.7,5,40.2,3.38,348.65
1548.0,4,6.1,3.52,391.81
1985.8,1,6.3,3.5,408.59
2017.4,5,42.5,1.32,362.32
2228.1,2,17.2,9.34,552.66
3106.6,5,1.5,2.92,639.1
1685.0,4,2.6,4.78,431.29
1281.1,2,7.1,1.09,289.84
903.4,4,10.7,8.72,367.3
1324.9,2,33.3,7.58,407.43
1778.5,3,7.9,9.52,453.94
2966.5,1,5.9,8.03,650.37
1463.6,1,38.2,3.82,353.49
1945.5,4,33.6,3.23,458.58
1789.3,1,21.8,7.28,438.22
2572.5,4,27.5,4.28,505.73
3442.5,4,15.6,6.1,745.79
1454.9,4,24.1,1.06,314.66
1481.9,1,25.3,1.56,288.06
2478.7,4,19.4,5.82,536.72
2243.2,1,45.3,6.09,440.68
3000.4,4,0.8,7.76,701.24
2179.6,5,39.1,2.19,461.77
1566.5,4,6.2,5.62,434.17
2183.9,2,39.9,2.75,400.09
2520.7,4,30.8,1.84,457.93
2333.3,3,42.2,4.69,450.96
2129.7,4,4.9,2.47,444.01
2493.3,2,27.9,3.0,454.42
2560.0,2,25.1,3.86,464.67
2698.4,1,35.3,3.33,514.82
2221.7,5,26.7,1.79,421.09
1691.4,4,27.0,1.81,387.24
1895.4,1,21.5,2.74,388.28
2584.2,5,15.4,1.46,518.83
1269.0,4,24.1,6.64,430.18
2039.6,3,5.9,3.59,419.61
1544.3,4,48.1,3.52,376.35
1818.7,2,35.7,3.99,382.57
2631.0,2,47.6,6.97,620.2
1924.2,3,11.3,8.84,515.09
1830.2,1,44.0,7.83,428.77
916.1,5,40.4,7.55,361.56
2285.1,4,33.9,5.36,504.92
2219.6,2,31.3,7.24,493.37
3206.1,1,15.8,5.97,613.55
1599.9,3,40.8,2.95,382.82
1942.4,2,25.1,2.88,368.01
1962.1,3,3.5,3.67,449.07
2825.3,4,15.6,9.2,701.24
1738.1,5,46.8,5.93,467.59
1981.4,2,42.5,7.61,459.03
2195.1,2,49.1,4.12,432.98
1921.3,4,31.4,4.67,435.12
1509.8,1,12.4,2.13,278.54
1926.2,5,8.1,2.54,451.6
2497.9,2,9.3,8.45,594.2
1132.8,5,1.0,6.26,427.88
1886.4,2,19.5,4.04,393.44
1344.9,5,9.6,8.23,479.36
2576.8,3,20.6,3.22,542.97
809.9,2,46.7,9.78,335.38
1436.7,5,21.5,4.1,327.87
2045.2,1,43.9,4.04,393.49
2817.6,3,30.3,3.81,597.59
1757.3,3,12.4,2.1,384.91
1439.1,1,17.8,2.0,316.97
3022.8,5,4.2,6.83,680.82
858.8,4,16.7,8.88,367.66
400.0,1,33.9,8.11,194.28
2086.0,5,3.6,2.27,480.74
1473.7,1,10.3,5.91,408.21
1136.2,1,19.1,1.95,228.51
2260.4,2,49.1,1.41,394.65
1958.5,5,39.2,6.91,488.87
1433.3,4,36.7,5.82,398.86
967.8,2,5.8,1.74,232.2
2367.1,1,39.0,1.31,432.77
2222.6,1,39.3,9.91,544.11
1735.5,1,30.1,1.27,257.41
3000.3,5,49.5,5.0,621.51
1104.4,5,16.3,5.54,387.31
808.4,2,47.1,2.06,165.81
1350.3,4,45.7,2.52,319.56
1770.4,2,0.6,4.17,459.84
1958.2,3,22.5,7.86,505.91
1643.2,1,48.9,5.56,398.08
2028.8,1,5.2,6.74,472.49
986.5,1,27.4,9.87,365.21
2738.4,2,48.9,7.91,582.91
1746.6,2,27.8,4.91,392.46
2526.2,1,9.5,5.02,519.97
2022.8,2,29.1,6.57,431.6
2096.9,5,10.2,6.99,533.87
2170.3,5,26.0,5.51,547.32
2091.0,2,3.7,6.8,483.07
2217.8,1,30.3,1.21,365.61
2663.9,2,25.8,4.87,542.05
1927.7,2,37.0,3.51,399.52
2260.9,2,31.5,2.16,436.26
1741.7,3,27.5,1.9,356.55
2736.1,5,34.5,6.43,610.33
1360.3,4,7.2,5.71,390.35
2970.6,4,29.8,3.28,546.96
1773.9,3,8.6,5.24,437.71
870.0,2,46.3,5.43,283.34
1883.3,3,3.4,2.76,428.22
1357.3,3,21.5,6.87,352.42
2346.4,1,34.8,8.03,536.94
1375.8,5,22.9,8.12,421.95
1510.0,4,4.6,6.42,471.22
571.8,2,27.7,5.6,246.68
1506.0,4,32.1,1.55,348.53
400.0,4,35.2,3.59,195.01
770.5,5,18.7,1.84,242.1
2294.3,4,28.2,9.67,631.13
2310.8,4,22.5,2.22,490.79
2076.5,3,33.6,2.37,416.13
1171.5,5,29.2,9.01,419.5
1769.0,1,26.3,9.5,434.55
1797.7,2,12.5,7.89,483.85
1047.1,4,0.1,1.05,270.7
2777.2,2,8.7,1.01,515.69
2370.3,1,5.9,4.4,513.56
1656.4,2,22.5,2.29,376.55
1817.5,1,30.6,1.17,339.53
1935.4,3,10.7,5.18,434.81
472.9,4,47.0,9.49,248.41
1639.3,1,0.3,3.91,357.47
1356.7,2,38.6,6.95,405.06
1148.9,4,31.3,6.87,414.58
1617.3,3,18.7,3.26,366.38
2968.5,4,2.5,6.85,628.1
2216.5,1,31.4,2.91,405.57
1428.7,3,19.3,2.1,351.1
2172.2,2,46.8,7.31,479.22
